hr_data,P,A,D,Label
66,0.0,0.0,0.0,Calm
66,,,,
66,,,,
67,,,,
67,,,,
67,,,,
67,,,,
67,,,,
67,,,,
67,,,,
67,,,,
68,,,,
69,,,,
69,,,,
69,,,,
69,,,,
69,,,,
69,,,,
69,,,,
68,,,,
67,,,,
66,,,,
66,,,,
65,,,,
66,,,,
66,,,,
66,,,,
66,,,,
66,,,,
66,,,,
66,,,,
67,,,,
69,,,,
70,,,,
71,,,,
73,,,,
74,,,,
75,,,,
75,,,,
76,,,,
77,,,,
76,,,,
76,,,,
76,,,,
76,,,,
75,,,,
74,,,,
73,,,,
72,,,,
72,,,,
72,,,,
71,,,,
70,,,,
69,,,,
69,,,,
69,,,,
68,,,,
69,,,,
69,,,,
68,,,,
67,,,,
66,,,,
65,,,,
65,,,,
64,,,,
65,,,,
65,,,,
65,,,,
65,,,,
65,,,,
65,,,,
65,,,,
65,,,,
65,,,,
65,,,,
65,,,,
65,,,,
65,,,,
65,,,,
65,,,,
65,,,,
65,,,,
65,,,,
66,,,,
66,,,,
66,,,,
66,,,,
66,,,,
67,,,,
67,,,,
67,,,,
67,,,,
67,,,,
66,,,,
66,,,,
66,,,,
66,,,,
65,,,,
65,,,,
65,,,,
64,,,,
64,,,,
64,,,,
64,,,,
63,,,,
64,,,,
64,,,,
64,,,,
64,,,,
64,,,,
64,,,,
64,,,,
63,,,,
63,,,,
63,,,,
63,,,,
63,,,,
63,,,,
63,,,,
64,,,,
65,,,,
65,,,,
66,,,,
67,,,,
67,,,,
68,,,,
68,,,,
68,,,,
68,,,,
68,,,,
68,,,,
68,,,,
69,,,,
69,,,,
69,,,,
69,,,,
70,,,,
70,,,,
71,,,,
71,,,,
71,,,,
71,,,,
72,,,,
72,,,,
72,,,,
71,,,,
71,,,,
71,,,,
71,,,,
71,,,,
71,,,,
70,,,,
70,,,,
69,,,,
68,,,,
68,,,,
68,,,,
68,,,,
68,,,,
68,,,,
68,,,,
68,,,,
68,,,,
68,,,,
67,,,,
67,,,,
66,,,,
66,,,,
65,,,,
64,,,,
64,,,,
64,,,,
64,,,,
64,,,,
65,,,,
66,,,,
66,,,,
67,,,,
67,,,,
67,,,,
